nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
130;agnes-martin;Agnes Martin;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Agnes Martins Raster leben von Wiederholung, ohne dass jeder Blick dasselbe sieht. Wendy Hui Kyong Chun beschreibt Gewohnheit als eine Wiederholung, die selbstverständlich wird und dadurch Wahrnehmung ordnet. Martins Bilder können diese Selbstverständlichkeit verlangsamen. Je vertrauter das Raster wird, desto eher fallen kleine Abweichungen auf.;Kann Gewohnheit Unterschiede sichtbarer machen?
131;hanne-darboven;Hanne Darboven;judith-butler;Judith Butler;Hanne Darboven wiederholt Regeln des Schreibens und Rechnens über lange Zeiträume. Judith Butler zeigt, dass Wiederholung nicht einfach Kopie bedeutet, sondern eine Ordnung überhaupt erst wirksam hält. Darbovens Regel besteht deshalb nicht unabhängig von ihren Blättern. Sie erhält ihre Dauer dadurch, dass sie immer wieder ausgeführt und dabei materiell verschieden wird.;Wie verändert Ausführung eine Regel?
132;eva-hesse;Eva Hesse;hannah-arendt;Hannah Arendt;Hannah Arendt gibt den Dingen der gemeinsamen Welt Bedeutung, weil sie menschliche Lebensläufe überdauern können. Kunstwerke besitzen in diesem Sinn eine besondere Dauer. Eva Hesse wählt Materialien, die genau diese Beständigkeit unterlaufen. Ihre Arbeiten bleiben Teil einer gemeinsamen Welt, obwohl ihre Stoffe altern und ihre Form nicht unbegrenzt gesichert werden kann.;Wie dauerhaft muss Kunst sein, um Welt zu bilden?
133;louise-bourgeois;Louise Bourgeois;karen-barad;Karen Barad;Louise Bourgeois baut mit den Cells Grenzen, durch die man schaut, an denen man entlanggeht und die man nicht einfach überschreitet. Karen Barad versteht Grenzen nicht als selbstverständlich gegeben, sondern als Ergebnis konkreter Anordnungen. Bei Bourgeois wird diese Herstellung körperlich erfahrbar. Innen und außen entstehen durch Material, Blick und Position.;Wie entsteht bei einer Cell ein Innen und Außen?
134;marina-abramovic;Marina Abramović;n-katherine-hayles;N. Katherine Hayles;Marina Abramovićs Performances lassen sich dokumentieren, beschreiben und wiederaufführen, aber keine Aufzeichnung übernimmt den ursprünglichen körperlichen Vollzug. N. Katherine Hayles unterscheidet abstrakte Information von ihrer Verkörperung. Bei Abramović wird diese Differenz besonders deutlich. Die Regel kann übermittelt werden, die gelebte Dauer nicht.;Was fehlt einer dokumentierten Performance?
135;rebecca-horn;Rebecca Horn;elena-esposito;Elena Esposito;Elena Esposito betont, dass Prognosen die Zukunft nicht kennen, sondern in der Gegenwart Erwartungen erzeugen. Rebecca Horns Maschinen scheinen dagegen einen Ablauf bereits festzulegen. Doch sobald Mechanik auf Körper, Reibung und Raum trifft, wird aus dem vorgesehenen Ablauf ein tatsächliches Ereignis. Die Maschine macht Zukunft berechenbarer, ohne sie in Gegenwart zu verwandeln.;Was weiß eine Maschine über ihren nächsten Moment?
136;mona-hatoum;Mona Hatoum;donna-haraway;Donna Haraway;Mona Hatoum verändert vertraute Dinge so, dass der eigene Körper seine Position neu einschätzen muss. Donna Haraway erinnert daran, dass jeder Blick an einen Standort gebunden ist. Hatoums Arbeiten machen diese Abhängigkeit spürbar. Nähe, Distanz und Sicherheit sehen anders aus, wenn sich die eigene Position verändert.;Wie verändert der Standort, was vertraut erscheint?
137;doris-salcedo;Doris Salcedo;susan-leigh-star;Susan Leigh Star;Doris Salcedo macht Verlust in Möbeln, Wänden und öffentlichen Eingriffen sichtbar. Susan Leigh Star fragt nach den oft unsichtbaren Strukturen, die eine gemeinsame Praxis tragen. Auch öffentliches Erinnern braucht solche Bedingungen. Institutionen, Orte, Pflege und Rituale entscheiden mit, ob eine materielle Spur bestehen und wieder aufgesucht werden kann.;Welche Infrastruktur braucht Erinnerung?
138;agnes-martin;Agnes Martin;lucy-suchman;Lucy Suchman;Agnes Martins Raster gibt dem Blick eine stabile Ordnung, aber keine feste Route. Lucy Suchman beschreibt Handeln als etwas, das sich unter lokalen Bedingungen entwickelt. Auch Sehen folgt keinem fertigen Plan des Bildes. Augen wandern, Aufmerksamkeit bricht ab, Abstand verändert sich und einzelne Linien treten erst später hervor.;Kann ein Bild den Blick planen?
139;hanne-darboven;Hanne Darboven;hannah-arendt;Hannah Arendt;Hanne Darboven verwandelt private Arbeitszeit in Blätter, Reihen und Archive, die öffentlich zugänglich werden. Hannah Arendt denkt eine gemeinsame Welt als etwas, das zwischen verschiedenen Menschen Bestand gewinnt. Darbovens Notationen überschreiten dadurch ihren ursprünglichen Schreibmoment. Eine individuelle Tätigkeit wird zu einem Gegenstand, zu dem andere später zurückkehren können.;Wie wird private Zeit Teil einer gemeinsamen Welt?
140;eva-hesse;Eva Hesse;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Eva Hesses serielle Formen versprechen Wiederholung, während ihre Materialien altern und sich verändern. Wendy Hui Kyong Chun beschreibt technische Stabilität als Ergebnis fortgesetzter Erneuerung. Bei Hesse wird diese Logik problematisch. Erhaltung kann das Werk bewahren, aber jeder Eingriff verändert auch den materiellen Verlauf, den das Werk bereits genommen hat.;Wann wird Erhaltung selbst zur Veränderung?
141;louise-bourgeois;Louise Bourgeois;judith-butler;Judith Butler;Louise Bourgeois arbeitet immer wieder mit Körpern, Häusern, Elternfiguren, Sexualität und familiären Rollen. Judith Butler untersucht, wie Körper und Identitäten durch gesellschaftliche Normen erkennbar werden. Bourgeois bestätigt solche Kategorien nicht einfach. Ihre Formen verschieben, übertreiben und vermischen, was als weiblich, männlich, mütterlich oder körperlich selbstverständlich erscheinen könnte.;Welche Normen lesen wir in einen Körper hinein?
142;marina-abramovic;Marina Abramović;elena-esposito;Elena Esposito;Marina Abramović kündigt bei vielen Arbeiten Dauer und Bedingungen im Voraus an. Elena Esposito zeigt, dass Vorstellungen von Zukunft die Gegenwart schon verändern, obwohl das Kommende noch nicht eingetreten ist. Wer weiß, dass eine Performance sechs Stunden dauern wird, erlebt bereits den ersten Moment im Horizont dieses Endes. Die festgelegte Dauer erzeugt Erwartungen, ohne den Verlauf festzulegen.;Wie verändert ein angekündigtes Ende die Gegenwart?
143;rebecca-horn;Rebecca Horn;karen-barad;Karen Barad;Rebecca Horns Apparate setzen nicht einfach an einem fertigen Körper an. Karen Barads Begriff der Intraaktion richtet den Blick darauf, dass Relationen die beteiligten Seiten mit hervorbringen können. Mit einer Körperverlängerung verändert sich nicht nur das Werkzeug, sondern auch das, was hier als Reichweite und Körpergrenze gilt. Der erweiterte Körper entsteht in dieser Verbindung.;Entsteht der erweiterte Körper erst mit dem Apparat?
144;doris-salcedo;Doris Salcedo;n-katherine-hayles;N. Katherine Hayles;Doris Salcedo bindet Erinnerung an Holz, Beton, Kleidung und architektonische Eingriffe. N. Katherine Hayles warnt davor, Bedeutung von ihrer Verkörperung zu lösen. Bei Salcedo ist Material deshalb kein austauschbarer Träger einer Botschaft. Gewicht, Beschädigung, Oberfläche und räumliche Blockade tragen selbst zur Erinnerung bei.;Was weiß ein Material, das ein Text nicht sagt?
145;agnes-martin;Agnes Martin;donna-haraway;Donna Haraway;Agnes Martins Raster wirken gerade deshalb offen, weil sie den Blick nicht mit vielen Gegenständen besetzen. Donna Haraway erinnert daran, dass auch ein reduziertes Bild niemals von nirgendwo gesehen wird. Abstand, Licht, Körper und Aufmerksamkeit verändern, was im Raster hervortritt. Objektivität bedeutet hier nicht Standortlosigkeit, sondern einen bewussteren Standort.;Wie verändert der Standpunkt ein Raster?
146;hanne-darboven;Hanne Darboven;susan-leigh-star;Susan Leigh Star;Hanne Darboven nutzt Kalender, Zahlen und Ordnungssysteme, die schon vor ihrem einzelnen Blatt existieren. Susan Leigh Star untersucht solche Klassifikationen als Infrastrukturen gemeinsamer Arbeit. Darboven macht aus ihnen sichtbares Material. Der Kalender erscheint nicht mehr nur als neutrale Hilfe, sondern als Ordnung, die Zeit in benennbare Stellen zerlegt.;Was ordnet ein Kalender, außer Tage?
147;eva-hesse;Eva Hesse;lucy-suchman;Lucy Suchman;Eva Hesse arbeitet mit seriellen Regeln, doch ihre Materialien folgen keinem vollkommenen Plan. Lucy Suchman zeigt, dass eine Anweisung erst in einer konkreten Situation wirksam wird. Bei Hesse gehören Schwerkraft, Materialspannung und Alterung zu dieser Situation. Die ausgeführte Form ist deshalb immer mehr als ihre vorausgehende Ordnung.;Was fügt Material einem Plan hinzu?
148;louise-bourgeois;Louise Bourgeois;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Louise Bourgeois kehrt zu bestimmten Erinnerungen und Formen immer wieder zurück. Wendy Hui Kyong Chun untersucht Gewohnheiten, die durch Wiederholung stabil werden. Bourgeois' Wiederkehr unterscheidet sich jedoch von einer beruhigenden Routine. Das Vertraute kann bei jeder Wiederholung eine neue Spannung erzeugen und gerade dadurch wirksam bleiben.;Kann Wiederholung eine Erinnerung verändern?
149;marina-abramovic;Marina Abramović;hannah-arendt;Hannah Arendt;Marina Abramović macht Anwesenheit vor anderen zum Bestandteil ihrer Performances. Hannah Arendt beschreibt einen Raum des Erscheinens, der dort entsteht, wo Menschen voreinander sichtbar und handelnd werden. Bei Abramović ist Öffentlichkeit deshalb nicht nur Publikum im Hintergrund. Die Anwesenheit der anderen verändert die Situation, in der der Körper erscheint.;Was macht Anwesenheit öffentlich?
150;rebecca-horn;Rebecca Horn;judith-butler;Judith Butler;Rebecca Horn verändert Körper durch Verlängerungen, Masken und mechanische Zusätze. Judith Butler fragt, wie gesellschaftliche Normen bestimmen, welche Körper als selbstverständlich lesbar werden. Horns Apparate stören diese Selbstverständlichkeit. Sie zeigen einen Körper, dessen Grenzen und Möglichkeiten nicht feststehen, ohne ihn in reine Beliebigkeit aufzulösen.;Welche Körpergrenzen halten wir für selbstverständlich?
151;doris-salcedo;Doris Salcedo;karen-barad;Karen Barad;Doris Salcedo arbeitet mit Rissen, blockierten Räumen und beschädigten Gegenständen. Karen Barad fragt, wie Anordnungen bestimmte Trennungen erst hervorbringen. Bei Salcedo kann eine Grenze deshalb selbst zum Ereignis werden. Sie trennt nicht nur zwei Seiten, sondern macht Verlust, Ausschluss oder Unzugänglichkeit körperlich erfahrbar.;Was macht eine Grenze spürbar?
152;agnes-martin;Agnes Martin;susan-leigh-star;Susan Leigh Star;Agnes Martins Raster funktionieren wie eine stille Infrastruktur des Sehens. Susan Leigh Star interessiert sich für Ordnungen, die Handlungen ermöglichen, ohne dauernd im Vordergrund zu stehen. Bei Martin wird diese Hintergrundstruktur selbst zum Bild. Linien, Abstände und Wiederholung tragen das Sehen, gerade weil sie kaum etwas erzählen.;Was trägt das Sehen, ohne selbst aufzufallen?
153;hanne-darboven;Hanne Darboven;elena-esposito;Elena Esposito;Hanne Darboven kann eine Regel weit in die Zukunft fortsetzen, ohne diese Zukunft schon ausgeführt zu haben. Elena Esposito untersucht, wie gegenwärtige Ordnungen Erwartungen über Kommendes erzeugen. Die nächste Zahl mag bestimmbar sein, der nächste Arbeitstag ist es nicht. Darbovens Serien halten deshalb Regelmäßigkeit und offene Zukunft gleichzeitig zusammen.;Wie weit reicht eine Regel in die Zukunft?
154;eva-hesse;Eva Hesse;judith-butler;Judith Butler;Eva Hesse wiederholt Formen, ohne identische Körper hervorzubringen. Judith Butler versteht Wiederholung als einen Vollzug, durch den eine Ordnung fortbesteht und sich verändern kann. Bei Hesse ist diese Veränderung materiell sichtbar. Jede Ausführung gehört zur Serie und bleibt trotzdem ein eigener Körper.;Wie viel Unterschied verträgt eine Serie?
155;louise-bourgeois;Louise Bourgeois;lucy-suchman;Lucy Suchman;Louise Bourgeois entwirft Cells als präzise Räume, aber sie schreibt nicht fest, wie jemand sie erlebt. Lucy Suchman zeigt, dass eine Situation im Gebrauch mehr hervorbringt als ihr Plan. Bei Bourgeois verändern Blickrichtung, Nähe und Bewegung, was zugänglich oder verborgen erscheint. Die räumliche Ordnung bleibt, die Erfahrung entsteht im Durchgang.;Was entsteht erst beim Durchqueren einer Cell?
156;rebecca-horn;Rebecca Horn;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Rebecca Horn verbindet Körper mit Maschinen, deren Bewegungen sich wiederholen können. Wendy Hui Kyong Chun untersucht Gewohnheiten, durch die technische Ordnungen selbstverständlich werden. Horn verhindert diese Selbstverständlichkeit. Ihre Apparate machen jede Wiederholung spürbar, weil der Körper sich immer wieder neu zu ihr verhalten muss.;Wann wird Technik zur Gewohnheit?
157;doris-salcedo;Doris Salcedo;hannah-arendt;Hannah Arendt;Doris Salcedo bringt Erfahrungen von Verlust in einen öffentlichen Raum, ohne sie zu vereinheitlichen. Hannah Arendt denkt eine gemeinsame Welt als Raum zwischen verschiedenen Menschen. Salcedos Arbeiten zeigen, dass Gemeinsamkeit nicht dieselbe Erfahrung voraussetzt. Eine materielle Spur kann geteilt werden, während die jeweiligen Erinnerungen verschieden bleiben.;Wie kann Erinnerung gemeinsam sein, ohne gleich zu werden?
158;eva-hesse;Eva Hesse;karen-barad;Karen Barad;Eva Hesse trennt Form und Material nicht sauber voneinander. Karen Barad versteht Eigenschaften ebenfalls nicht als vollständig unabhängig von den Anordnungen, in denen sie hervortreten. Bei Hesse verändert das Material, was die serielle Form überhaupt sein kann. Schwerkraft, Elastizität und Alterung gehören zur Gestalt des Werks.;Wo endet die Form und beginnt das Material?
159;louise-bourgeois;Louise Bourgeois;elena-esposito;Elena Esposito;Elena Esposito interessiert sich für Kontingenz, also dafür, dass Gegenwart auch anders hätte werden können. Louise Bourgeois kehrt zu ihrer Vergangenheit immer wieder in neuen Formen zurück. Die Ereignisse selbst werden dadurch nicht veränderbar, wohl aber die Ordnung, in der sie erinnert werden. Erinnerung kann vergangene Möglichkeiten wieder sichtbar machen, ohne die Vergangenheit zurückzunehmen.;Kann Erinnerung vergangene Möglichkeiten wieder öffnen?
160;rebecca-horn;Rebecca Horn;lucy-suchman;Lucy Suchman;Rebecca Horns Maschinen und Körper teilen nicht dieselbe Situation auf dieselbe Weise. Lucy Suchmans Arbeiten zur Mensch-Maschine-Interaktion zeigen, wie leicht technische Systeme und Menschen einander scheinbar verstehen, obwohl sie auf verschiedene Informationen zugreifen. Horns Apparate machen diese Differenz körperlich. Der Mechanismus führt eine Bewegung aus, während der Körper Gewicht, Widerstand und Bedeutung erlebt.;Verstehen Körper und Maschine dieselbe Bewegung?
161;doris-salcedo;Doris Salcedo;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Doris Salcedo schafft materielle Spuren, die nicht durch ständige Aktualisierung neu erscheinen müssen. Wendy Hui Kyong Chun beschreibt digitale Gegenwart dagegen als etwas, das durch Wiederholung und Update fortbesteht. Salcedos Arbeiten setzen dem eine langsamere Form der Dauer entgegen. Ihre Materialien bleiben und verändern sich, ohne sich als neu auszugeben.;Muss Erinnerung aktualisiert werden, um wirksam zu bleiben?
162;louise-bourgeois;Louise Bourgeois;susan-leigh-star;Susan Leigh Star;Louise Bourgeois' Cells verbinden persönliche Dinge, räumliche Grenzen und institutionelle Ausstellung. Susan Leigh Star untersucht Grenzobjekte, an denen verschiedene soziale Welten zusammenarbeiten können, ohne dass alle dasselbe darin sehen. Auch eine Cell hält unterschiedliche Lesarten aus. Ihre Einheit verlangt keine einheitliche Bedeutung.;Wie viel Verschiedenheit hält ein gemeinsames Objekt aus?
163;rebecca-horn;Rebecca Horn;hannah-arendt;Hannah Arendt;Rebecca Horn verändert mit Prothesen und Maschinen, wie ein Körper im Raum erscheint. Hannah Arendt versteht Öffentlichkeit als einen Raum, in dem Menschen vor anderen sichtbar werden. Horns Erweiterungen betreffen deshalb nicht nur private Körpererfahrung. Sie verändern auch die Form, in der ein Körper anderen gegenübertritt.;Wie verändert Technik unser öffentliches Erscheinen?
164;doris-salcedo;Doris Salcedo;lucy-suchman;Lucy Suchman;Doris Salcedo gestaltet Situationen des Erinnerns sehr genau, ohne festlegen zu können, wie einzelne Menschen darauf reagieren. Lucy Suchman unterscheidet zwischen einer geplanten Anordnung und dem Handeln, das sich darin entwickelt. Bei Salcedo bleibt diese Differenz wichtig. Das Werk kann eine Begegnung ermöglichen, aber keine bestimmte Erinnerung vorschreiben.;Was kann ein Erinnerungsort nicht planen?
165;louise-bourgeois;Louise Bourgeois;hannah-arendt;Hannah Arendt;Louise Bourgeois macht persönliche Erinnerung in Räumen und Dingen öffentlich zugänglich. Hannah Arendt fragt, wie eine gemeinsame Welt zwischen verschiedenen Menschen entstehen kann. Eine Cell überführt private Erfahrung nicht einfach in gemeinsames Wissen. Sie stellt etwas zwischen die Betrachtenden, zu dem jede Person eine eigene Beziehung aufbauen kann.;Wann wird persönliche Erinnerung Teil einer gemeinsamen Welt?
166;on-kawara;On Kawara;george-spencer-brown;George Spencer-Brown;George Spencer-Brown beginnt mit dem Ziehen einer Grenze. Erst dadurch entstehen zwei Seiten. On Kawaras Datumsbilder beruhen auf einer ähnlich elementaren Unterscheidung: Dieser Tag und alle anderen Tage. Die Grenze ist jedoch zeitlich. Mit Mitternacht wird aus dem Heute unwiderruflich ein Gestern. Kawaras Regel, ein Bild nur am bezeichneten Tag fertigzustellen, macht diese Grenze materiell wirksam. Das Datum bezeichnet deshalb nicht nur eine Stelle im Kalender. Es hält den Moment fest, in dem eine zeitliche Unterscheidung irreversibel geworden ist.;Wann wird aus einer Grenze Vergangenheit?
167;bruce-nauman;Bruce Nauman;george-spencer-brown;George Spencer-Brown;Bruce Nauman wiederholt Bewegungen, Gesten und Sätze, bis das scheinbar Gleiche Unterschiede hervorbringt. George Spencer-Brown beschreibt Form als Folge einer Unterscheidung: Eine Grenze trennt zwei Seiten. Naumans Loops stellen eine einfache Frage an diese Vorstellung. Wenn dieselbe Bewegung wieder beginnt, wird dann dieselbe Grenze erneut gezogen? Körper, Aufmerksamkeit und Zeitpunkt haben sich inzwischen verändert. Die Form kann wiederkehren, aber die Situation ihrer Unterscheidung nicht. Wiederholung wäre damit kein Kreisen innerhalb einer festen Form, sondern ein fortgesetztes Neuziehen ihrer Grenze.;Kann dieselbe Grenze zweimal gezogen werden?
168;dan-graham;Dan Graham;michel-serres;Michel Serres;Dan Graham baut mit Glas und Spiegeln Grenzen, die gerade deshalb interessant sind, weil sie nicht einfach abschließen. Sie trennen Räume und lassen zugleich Licht, Blick und Spiegelbild passieren. Michel Serres interessiert sich für Passagen und dafür, dass Vermittlung niemals neutral bleibt. Grahams Glaswand ist deshalb zugleich Grenze und Kanal. Wer hindurchblickt, sieht nicht einfach die andere Seite. Spiegelung, Position und Bewegung verändern das Verhältnis zwischen hier und dort. Die Grenze vermittelt genau dadurch, dass sie trennt.;Wann wird eine Grenze zum Kanal?
169;dan-graham;Dan Graham;elena-esposito;Elena Esposito;Dan Grahams zeitverzögertes Video macht die Gegenwart erst sichtbar, nachdem sie vergangen ist. Was ich auf dem Monitor sehe, habe ich gerade getan. Während dieses Bild erscheint, entsteht bereits die Erwartung des nächsten. Elena Esposito untersucht, wie Zukunft in der Gegenwart wirksam wird, obwohl sie noch nicht eingetreten ist. Grahams Verzögerung erzeugt genau diese Spannung: Sie verwandelt Gegenwart fortlaufend in Vergangenheit und öffnet dadurch zugleich einen Horizont dessen, was gleich erscheinen wird. Zukunft entsteht hier nicht trotz der Verzögerung, sondern durch sie.;Erzeugt Verzögerung Zukunft?
170;robert-smithson;Robert Smithson;george-spencer-brown;George Spencer-Brown;Robert Smithsons Site und Non-Site existieren nur durch eine Unterscheidung. Material befindet sich im Ausstellungsraum und verweist zugleich auf einen Ort außerhalb von ihm. George Spencer-Brown zeigt, dass eine Grenze zwei Seiten nicht nur trennt, sondern überhaupt erst als Seiten einer Form bestimmbar macht. Bei Smithson ermöglicht genau diese Trennung eine gemeinsame Adresse für etwas Abwesendes. Besucher:innen müssen die entfernte Landschaft nicht gemeinsam betreten. Sie können sich im Museum auf sie beziehen, weil Site und Non-Site unterschieden und miteinander verbunden bleiben.;Kann eine Grenze einen abwesenden Ort gemeinsam zugänglich machen?
171;robert-smithson;Robert Smithson;gilbert-simondon;Gilbert Simondon;Robert Smithsons Orte verändern sich weiter, nachdem eine künstlerische Entscheidung getroffen wurde. Wasser, Salz, Wetter und Material setzen ihre Geschichte fort. Gilbert Simondon versteht ein Individuum nicht als fertige Form, sondern als vorläufigen Zustand eines fortdauernden Prozesses. Damit wird bei Smithson eine einfache Frage schwierig: Was genau bleibt an einem Ort identisch? Die Stelle ist wiederauffindbar, ihr materieller Zustand jedoch nicht. Identität könnte deshalb weniger im unveränderten Zustand liegen als in der fortgesetzten Geschichte eines Ortes.;Wie bleibt ein Ort derselbe, wenn er sich verändert?
172;eva-hesse;Eva Hesse;henri-bergson;Henri Bergson;Eva Hesses Materialien altern, hängen, verfärben sich und verändern ihre Spannung. Solche Veränderungen lassen sich als Folge einzelner Zustände dokumentieren. Henri Bergson warnt jedoch davor, Zeit mit einer Reihe nebeneinandergelegter Zustände zu verwechseln. Dauer bedeutet, dass Vergangenes im gegenwärtigen Zustand weiterwirkt. Hesses Material macht diesen Gedanken beinahe körperlich sichtbar. Das heutige Latex ersetzt nicht das gestrige. Seine gegenwärtige Form ist aus seiner bisherigen Geschichte hervorgegangen.;Kann ein Material Dauer haben?
173;on-kawara;On Kawara;hannah-arendt;Hannah Arendt;On Kawara macht einen einzelnen Tag zu einem dauerhaften Gegenstand. Hannah Arendt versteht die gemeinsame Welt als etwas, das zwischen verschiedenen Menschen bestehen kann und ihre jeweiligen Lebenszeiten überdauert. Kawaras Datumsbild beginnt dagegen mit einem radikal persönlichen Jetzt. Nur an diesem einen Tag kann es entstehen. Sobald es fertig ist, kann genau dieser vergangene Tag jedoch von vielen Menschen zu verschiedenen Zeiten betrachtet werden. Ein einmaliges Jetzt erhält dadurch einen Platz in einer gemeinsamen Welt.;Wann wird ein einzelner Tag gemeinsam?
174;sol-lewitt;Sol LeWitt;hannah-arendt;Hannah Arendt;Sol LeWitts Instruktionen erlauben es verschiedenen Menschen, an verschiedenen Orten dasselbe Werk auszuführen. Hannah Arendt denkt eine gemeinsame Welt nicht als Übereinstimmung aller Beteiligten, sondern als etwas, auf das Menschen aus unterschiedlichen Positionen Bezug nehmen können. Eine Wall Drawing verbindet solche Positionen auf ungewöhnliche Weise. Die Ausführenden müssen nicht dasselbe sehen, denken oder tun. Trotzdem beziehen ihre verschiedenen Handlungen sich auf eine gemeinsame Regel und bringen ein Werk hervor, das zwischen ihnen Bestand gewinnt.;Kann eine Regel etwas Gemeinsames hervorbringen?
175;tehching-hsieh;Tehching Hsieh;elena-esposito;Elena Esposito;Tehching Hsieh legt zu Beginn einer Performance fest, was er über Monate oder ein ganzes Jahr tun wird. Damit erhält eine noch nicht gelebte Zukunft bereits in der Gegenwart eine konkrete Form. Elena Esposito untersucht, wie Erwartungen und Prognosen Kommendes wirksam machen, ohne es bereits zu kennen. Bei Hsieh ist die Regel bekannt, die zukünftige Erfahrung jedoch nicht. Müdigkeit, Krankheit, Aufmerksamkeit und Lebenszeit müssen erst eintreten. Der Vertrag beschreibt eine Zukunft und beginnt gerade dadurch schon jetzt, den Körper zu organisieren.;Wann beginnt Zukunft auf einen Körper zu wirken?
176;james-turrell;James Turrell;elena-esposito;Elena Esposito;James Turrell baut Situationen, in denen Sehen Zeit braucht. Augen passen sich an, Lichtverhältnisse verändern sich und eine zunächst leere Fläche kann allmählich Tiefe gewinnen. Elena Esposito untersucht, wie Erwartungen eine Zukunft in der Gegenwart wirksam machen. Auch bei Turrell sehen wir deshalb nicht nur, was gerade vorhanden ist. Wir warten auf Veränderung, rechnen mit dem nächsten Moment und richten unsere Aufmerksamkeit darauf aus. Die Zukunft des Sehens wirkt schon mit, bevor etwas Neues erscheint.;Wann wird Erwartung Teil des Sehens?
177;felix-gonzalez-torres;Felix Gonzalez-Torres;michel-serres;Michel Serres;Felix Gonzalez-Torres lässt Teile seiner Werke den Ausstellungsraum verlassen. Papier wird mitgenommen, Bonbons werden gegessen und Bestände später ergänzt. Michel Serres interessiert sich für Passage und dafür, dass eine Übertragung das Übertragene nicht einfach unverändert von einem Ort zum anderen bringt. Bei Gonzalez-Torres gehört diese Veränderung zur Identität des Werks. Es bleibt nicht trotz seiner Zirkulation bestehen, sondern gerade durch sie.;Kann Weitergabe eine Form erhalten?
178;christian-marclay;Christian Marclay;hannah-arendt;Hannah Arendt;Christian Marclays The Clock verbindet Tausende Filmfragmente zu einer Zeit, die mit der Uhrzeit des Publikums zusammenfällt. Hannah Arendt beschreibt eine gemeinsame Welt als etwas, das zwischen verschiedenen Menschen besteht, ohne ihre Perspektiven gleichzumachen. Marclay stellt dafür einen ungewöhnlichen gemeinsamen Gegenstand bereit. Verschiedene Menschen sehen verschiedene Bilder, sitzen unterschiedlich lange im Raum und bringen ihre eigenen Erinnerungen mit. Trotzdem befinden sie sich für einen Moment im selben montierten Jetzt.;Kann eine gemeinsame Gegenwart montiert werden?
179;felix-gonzalez-torres;Felix Gonzalez-Torres;elena-esposito;Elena Esposito;Felix Gonzalez-Torres definiert Werke so, dass ihre zukünftigen Zustände offen bleiben. Bonbons können verschwinden und ergänzt, Papierstapel abgetragen und erneuert werden. Elena Esposito untersucht, wie Zukunft gegenwärtig organisiert wird, ohne bereits festzustehen. Bei Gonzalez-Torres gehört diese Offenheit zur Werkidentität. Das Werk enthält nicht seinen nächsten Zustand, sondern Regeln dafür, welche Veränderungen es künftig als dasselbe Werk überstehen kann.;Gehört Zukunft zur Identität eines Werks?
180;william-kentridge;William Kentridge;hannah-arendt;Hannah Arendt;William Kentridge arbeitet mit Bildern, in denen politische Geschichte nicht abgeschlossen erscheint. Zeichnungen werden gelöscht und verändert, während frühere Zustände als Spuren sichtbar bleiben. Hannah Arendt versteht die gemeinsame Welt als etwas, das zwischen Menschen Bestand gewinnt und zugleich durch ihr Handeln verändert werden kann. Bei Kentridge wird Vergangenheit deshalb weder beseitigt noch einfach bewahrt. Sie bleibt als veränderter Untergrund gegenwärtigen Handelns erhalten. Eine gemeinsame Welt besitzt Geschichte, ohne durch sie vollständig festgelegt zu sein.;Wie viel Vergangenheit braucht eine gemeinsame Zukunft?
181;doris-salcedo;Doris Salcedo;george-spencer-brown;George Spencer-Brown;George Spencer-Brown beginnt mit einer Grenze, durch die zwei Seiten entstehen. Doris Salcedo arbeitet mit Rissen, blockierten Durchgängen und Dingen, in denen Trennung körperlich spürbar wird. Eine Grenze erscheint bei ihr deshalb nicht als neutrale Linie. Sie kann eine vergangene Gewalt oder einen Ausschluss gegenwärtig halten. Der Raum wird geteilt, und gerade diese Teilung bleibt als Spur wirksam.;Kann eine Grenze erinnern?
182;louise-bourgeois;Louise Bourgeois;michel-foucault;Michel Foucault;Louise Bourgeois baut mit ihren Cells Räume, in denen Sehen und Zugang genau geregelt sind. Michel Foucault untersucht Anordnungen danach, wie sie Sichtbarkeit verteilen und Positionen hervorbringen. Bei Bourgeois steht man vor Gittern, Türen und Öffnungen, blickt hinein und bleibt zugleich draußen. Die Cell zeigt nicht nur Dinge. Sie organisiert, von welcher Stelle aus etwas sichtbar oder verborgen wird.;Wer darf in einer Cell sehen und wer bleibt draußen?
183;on-kawara;On Kawara;lucy-suchman;Lucy Suchman;On Kawaras Datumsbilder folgen einer strengen Regel: Das Bild muss an dem Tag fertig werden, den es bezeichnet. Gelingt das nicht, kann die Regel nicht einfach am nächsten Tag fortgesetzt werden. Lucy Suchman zeigt, dass Pläne erst in konkreten Situationen handlungswirksam werden. Bei Kawara trifft die abstrakte Kalenderordnung deshalb auf Müdigkeit, Arbeitszeit und Mitternacht. Die Situation entscheidet, ob aus dem Plan überhaupt ein Werk wird.;Wann entscheidet die Situation über eine Regel?
